Date,Open,High,Low,Close
06/16/2025,98.26,98.37,97.69,98.0
06/26/2026,101.5,101.57,101.05,101.36
06/25/2026,101.6,101.75,101.31,101.43
06/24/2026,101.37,101.8,101.36,101.61
06/23/2026,101.01,101.43,100.95,101.41
06/22/2026,100.88,101.08,100.76,101.02
06/19/2026,100.34,100.92,100.21,100.85
06/18/2026,100.34,100.92,100.21,100.85
06/17/2026,99.52,100.57,99.49,100.09
06/16/2026,99.64,99.79,99.46,99.54
07/07/2026,100.84,101.15,100.8,101.02
07/06/2026,100.86,101.15,100.83,100.85
07/03/2026,101.4,101.43,100.56,100.86
07/02/2026,101.4,101.43,100.56,100.86
07/01/2026,101.22,101.6,101.19,101.39
06/30/2026,101.12,101.43,101.05,101.19
06/29/2026,101.37,101.39,101.07,101.11
